cardnumber,surname,firstname,branchcode,categorycode,dateofbirth,email,phone,address,city,zipcode,userid,sex
LIB000501,Clark,Jennifer,CPL,PT,1996-10-26,jclark@example.com,07700000501,104 Orchard Way,Liverpool,L1 1AA,jclark,F
LIB000502,Lewis,Jennifer,CPL,PT,1997-11-27,jlewis@example.com,07700000502,105 Church Lane,Manchester,M1 1AA,jlewis,M
LIB000503,Young,Jennifer,CPL,PT,1998-12-28,jyoung@example.com,07700000503,106 Elm Close,Nottingham,NG1 1AA,jyoung,F
LIB000504,King,Jennifer,CPL,PT,1999-01-01,jking@example.com,07700000504,107 High Street,Edinburgh,EH1 1AA,jking,M
LIB000505,Wright,Jennifer,CPL,PT,2000-02-02,jwright@example.com,07700000505,108 Brook Street,Leeds,LS1 1BA,jwright,F
LIB000506,Scott,Jennifer,CPL,PT,2001-03-03,jscott@example.com,07700000506,109 Mill Road,Cardiff,CF1 1AA,jscott,M
LIB000507,Green,Jennifer,CPL,PT,2002-04-04,jgreen@example.com,07700000507,110 Station Road,Bradford,BD1 1AA,jgreen,F
LIB000508,Baker,Jennifer,CPL,PT,2003-05-05,jbaker@example.com,07700000508,111 Park Avenue,Belfast,BT1 1AA,jbaker,M
LIB000509,Adams,Jennifer,CPL,PT,2004-06-06,jadams@example.com,07700000509,112 Victoria Street,Leicester,LE1 1AA,jadams,F
LIB000510,Nelson,Jennifer,CPL,PT,2005-07-07,jnelson@example.com,07700000510,113 School Lane,Glasgow,G1 1AA,jnelson,M
LIB000511,Carter,Jennifer,CPL,PT,2006-08-08,jcarter@example.com,07700000511,114 Orchard Way,Bristol,BS1 1AA,jcarter,F
LIB000512,Mitchell,Jennifer,CPL,PT,2007-09-09,jmitchell@example.com,07700000512,115 Church Lane,Sheffield,S1 1AA,jmitchell,M
LIB000513,Perez,Jennifer,CPL,PT,2008-10-10,jperez@example.com,07700000513,116 Elm Close,Liverpool,L1 1AA,jperez,F
LIB000514,Turner,Jennifer,CPL,PT,2009-11-11,jturner@example.com,07700000514,117 High Street,Manchester,M1 1AA,jturner,M
LIB000515,Phillips,Jennifer,CPL,PT,2010-12-12,jphillips@example.com,07700000515,118 Brook Street,Nottingham,NG1 1AA,jphillips,F
LIB000516,Campbell,Jennifer,CPL,PT,2011-01-13,jcampbell@example.com,07700000516,119 Mill Road,Edinburgh,EH1 1AA,jcampbell,M
LIB000517,Parker,Jennifer,CPL,PT,2012-02-14,jparker@example.com,07700000517,120 Station Road,Leeds,LS1 1BA,jparker,F
LIB000518,Collins,Jennifer,CPL,PT,2013-03-15,jcollins@example.com,07700000518,121 Park Avenue,Cardiff,CF1 1AA,jcollins,M
LIB000519,Edwards,Jennifer,CPL,PT,2014-04-16,jedwards@example.com,07700000519,122 Victoria Street,Bradford,BD1 1AA,jedwards,F
LIB000520,Gibson,Michael,CPL,PT,1950-05-17,mgibson@example.com,07700000520,123 School Lane,Belfast,BT1 1AA,mgibson,M
LIB000521,Fleming,Michael,CPL,PT,1951-06-18,mfleming@example.com,07700000521,124 Orchard Way,Leicester,LE1 1AA,mfleming,F
LIB000522,Moore,Michael,CPL,PT,1952-07-19,mmoore@example.com,07700000522,125 Church Lane,Glasgow,G1 1AA,mmoore,M
LIB000523,Hall,Michael,CPL,PT,1953-08-20,mhall@example.com,07700000523,126 Elm Close,Bristol,BS1 1AA,mhall,F
LIB000524,Robinson,Michael,CPL,PT,1954-09-21,mrobinson@example.com,07700000524,127 High Street,Sheffield,S1 1AA,mrobinson,M
LIB000525,Murray,Michael,CPL,PT,1955-10-22,mmurray@example.com,07700000525,128 Brook Street,Liverpool,L1 1AA,mmurray,F
LIB000526,Cooper,Michael,CPL,PT,1956-11-23,mcooper@example.com,07700000526,129 Mill Road,Manchester,M1 1AA,mcooper,M
LIB000527,Williams,Michael,CPL,PT,1957-12-24,mwilliams@example.com,07700000527,130 Station Road,Nottingham,NG1 1AA,mwilliams,F
LIB000528,Smith,Michael,CPL,PT,1958-01-25,msmith@example.com,07700000528,131 Park Avenue,Edinburgh,EH1 1AA,msmith,M
LIB000529,Jones,Michael,CPL,PT,1959-02-26,mjones@example.com,07700000529,132 Victoria Street,Leeds,LS1 1BA,mjones,F
LIB000530,Taylor,Michael,CPL,PT,1960-03-27,mtaylor@example.com,07700000530,133 School Lane,Cardiff,CF1 1AA,mtaylor,M
LIB000531,Brown,Michael,CPL,PT,1961-04-28,mbrown@example.com,07700000531,134 Orchard Way,Bradford,BD1 1AA,mbrown,F
LIB000532,Wilson,Michael,CPL,PT,1962-05-01,mwilson@example.com,07700000532,135 Church Lane,Belfast,BT1 1AA,mwilson,M
LIB000533,Evans,Michael,CPL,PT,1963-06-02,mevans@example.com,07700000533,136 Elm Close,Leicester,LE1 1AA,mevans,F
LIB000534,Thomas,Michael,CPL,PT,1964-07-03,mthomas@example.com,07700000534,137 High Street,Glasgow,G1 1AA,mthomas,M
LIB000535,Roberts,Michael,CPL,PT,1965-08-04,mroberts@example.com,07700000535,138 Brook Street,Bristol,BS1 1AA,mroberts,F
LIB000536,Johnson,Michael,CPL,PT,1966-09-05,mjohnson@example.com,07700000536,139 Mill Road,Sheffield,S1 1AA,mjohnson,M
LIB000537,Walker,Michael,CPL,PT,1967-10-06,mwalker@example.com,07700000537,140 Station Road,Liverpool,L1 1AA,mwalker,F
LIB000538,White,Michael,CPL,PT,1968-11-07,mwhite@example.com,07700000538,141 Park Avenue,Manchester,M1 1AA,mwhite,M
LIB000539,Harris,Michael,CPL,PT,1969-12-08,mharris@example.com,07700000539,142 Victoria Street,Nottingham,NG1 1AA,mharris,F
LIB000540,Martin,Michael,CPL,PT,1970-01-09,mmartin@example.com,07700000540,143 School Lane,Edinburgh,EH1 1AA,mmartin,M
LIB000541,Clark,Michael,CPL,PT,1971-02-10,mclark@example.com,07700000541,144 Orchard Way,Leeds,LS1 1BA,mclark,F
