cardnumber,surname,firstname,branchcode,categorycode,dateofbirth,email,phone,address,city,zipcode,userid,sex
LIB000001,Gibson,Ella,CPL,PT,1979-03-15,egibson@example.com,07738156155,148 School Lane,Edinburgh,EH1 1AA,egibson,F
LIB000002,Fleming,Alexander,CPL,PT,1985-08-15,afleming@example.com,07741648435,131 Orchard Way,Leeds,LS1 1BA,afleming,M
LIB000003,Moore,Ryan,CPL,PT,1971-02-18,rmoore@example.com,07745635332,71 Church Lane,Cardiff,CF1 1AA,rmoore,M
LIB000004,Hall,Sophia,CPL,PT,1978-05-04,shall@example.com,07771718119,70 Elm Close,Bradford,BD1 1AA,shall,F
LIB000005,Robinson,Mason,CPL,PT,1998-11-27,mrobinson@example.com,07764991737,133 School Lane,Belfast,BT1 1AA,mrobinson,M
LIB000006,Young,Emily,CPL,PT,1995-03-01,eyoung@example.com,07791501439,99 Park Road,Edinburgh,EH1 1AA,eyoung,F
LIB000007,Gray,Abigail,CPL,PT,1955-08-11,agray@example.com,07710873431,3 School Lane,Sheffield,S1 1AA,agray,F
LIB000008,Hall,Aiden,CPL,PT,1954-11-18,ahall@example.com,07706433390,168 Elm Close,Leicester,LE1 1AA,ahall,M
LIB000009,Jones,Logan,CPL,PT,1962-05-10,ljones@example.com,07797932246,163 Park Road,Bristol,BS1 1AA,ljones,M
LIB000010,Evans,Benjamin,CPL,PT,1985-10-26,bevans@example.com,07797751389,79 Oak Drive,Cardiff,CF1 1AA,bevans,M
LIB000011,Edwards,Owen,CPL,PT,2004-08-01,oedwards@example.com,07787878570,133 Green Lane,Leeds,LS1 1BA,oedwards,M
LIB000012,Davies,Ella,CPL,PT,1999-02-01,edavies@example.com,07777480777,149 Mill Lane,Sheffield,S1 1AA,edavies,F
LIB000013,Robinson,Owen,CPL,PT,1988-11-03,orobinson@example.com,07774205650,119 Orchard Way,London,EC1A 1BB,orobinson,M
LIB000014,Wright,Mia,CPL,PT,1998-05-21,mwright@example.com,07739137904,122 Manor Way,Belfast,BT1 1AA,mwright,F
LIB000015,Johnson,James,CPL,PT,1992-01-14,jjohnson@example.com,07778723204,110 Park Road,Leeds,LS1 1BA,jjohnson,M
LIB000016,Campbell,Harper,CPL,PT,1994-02-13,hcampbell@example.com,07777135818,99 Mill Lane,Manchester,M1 2AB,hcampbell,F
LIB000017,Edwards,Madison,CPL,PT,1968-08-11,medwards@example.com,07732425283,83 Manor Way,Manchester,M1 2AB,medwards,F
LIB000018,Lewis,Jacob,CPL,PT,1986-09-18,jlewis@example.com,07730941276,53 Castle Road,Glasgow,G1 1AA,jlewis,M
LIB000019,White,Sebastian,CPL,PT,1974-01-02,swhite@example.com,07759446249,173 Green Lane,Leicester,LE1 1AA,swhite,M
LIB000020,Fox,Victoria,CPL,PT,1999-09-27,vfox@example.com,07720471634,176 Victoria Road,Glasgow,G1 1AA,vfox,F
LIB000021,Fleming,Sofia,CPL,PT,1967-06-08,sfleming@example.com,07719093788,120 Park Road,Glasgow,G1 1AA,sfleming,F
LIB000022,Davies,Scarlett,CPL,PT,1960-12-11,sdavies@example.com,07764126327,158 School Lane,Manchester,M1 2AB,sdavies,F
LIB000023,Evans,Alexander,CPL,PT,1996-09-07,aevans@example.com,07764597145,118 Oak Drive,Glasgow,G1 1AA,aevans,M
LIB000024,Hill,Jackson,CPL,PT,1986-04-14,jhill@example.com,07754532003,130 Park Road,Cardiff,CF1 1AA,jhill,M
LIB000025,Cooper,Charlotte,CPL,PT,1990-04-11,ccooper@example.com,07718000411,113 School Lane,Bradford,BD1 1AA,ccooper,F
LIB000026,Gray,Jackson,CPL,PT,1965-01-02,jgray@example.com,07718505967,126 Oak Drive,Manchester,M1 2AB,jgray,M
LIB000027,Bryant,Oliver,CPL,PT,1983-03-28,obryant@example.com,07756847516,57 High Street,Glasgow,G1 1AA,obryant,M
LIB000028,Wilson,Logan,CPL,PT,1970-02-06,lwilson@example.com,07770502010,185 Elm Close,Cardiff,CF1 1AA,lwilson,M
LIB000029,Jones,Owen,CPL,PT,1990-02-12,ojones@example.com,07775288739,3 Green Lane,Coventry,CV1 1AA,ojones,M
LIB000030,Fleming,Sophia,CPL,PT,1966-02-28,sfleming1@example.com,07728828301,102 Park Road,Liverpool,L1 1AA,sfleming1,F
LIB000031,Johnson,Daniel,CPL,PT,1988-03-08,djohnson@example.com,07768866795,55 Green Lane,Bradford,BD1 1AA,djohnson,M
LIB000032,Rice,Daniel,CPL,PT,1965-02-10,drice@example.com,07780502032,74 Oak Drive,Glasgow,G1 1AA,drice,M
LIB000033,Morgan,Aiden,CPL,PT,1995-01-14,amorgan@example.com,07795313519,48 Mill Lane,Cardiff,CF1 1AA,amorgan,M
LIB000034,Jackson,Alice,CPL,PT,1965-01-05,ajackson@example.com,07765496472,165 The Avenue,Edinburgh,EH1 1AA,ajackson,F
LIB000035,Phillips,Ryan,CPL,PT,2004-01-06,rphillips@example.com,07707896411,63 Orchard Way,Bristol,BS1 1AA,rphillips,M
LIB000036,Morris,Victoria,CPL,PT,1996-11-20,vmorris@example.com,07717711173,151 Orchard Way,Bradford,BD1 1AA,vmorris,F
LIB000037,Parker,Emily,CPL,PT,1987-03-14,eparker@example.com,07722587317,153 Mill Lane,Manchester,M1 2AB,eparker,F
LIB000038,Jones,Jack,CPL,PT,1993-02-10,jjones@example.com,07740792386,45 Station Road,Coventry,CV1 1AA,jjones,M
LIB000039,Robinson,Charlotte,CPL,PT,1968-01-24,crobinson@example.com,07799806188,198 Church Lane,Sheffield,S1 1AA,crobinson,F
LIB000040,Green,Sophia,CPL,PT,1954-02-20,sgreen@example.com,07764892700,107 Victoria Road,Sheffield,S1 1AA,sgreen,F
LIB000041,Wilson,Emily,CPL,PT,1969-11-09,ewilson@example.com,07735212612,107 Station Road,London,EC1A 1BB,ewilson,F
LIB000042,Jones,Jackson,CPL,PT,1971-08-04,jjones1@example.com,07735750476,97 Castle Road,Manchester,M1 2AB,jjones1,M
LIB000043,Campbell,Jackson,CPL,PT,2000-10-11,jcampbell@example.com,07771709410,45 Victoria Road,Belfast,BT1 1AA,jcampbell,M
LIB000044,Johnson,Sebastian,CPL,PT,1999-11-15,sjohnson@example.com,07783127357,170 Station Road,Cardiff,CF1 1AA,sjohnson,M
LIB000045,Walker,Daniel,CPL,PT,2001-01-03,dwalker@example.com,07788371237,103 Castle Road,Leeds,LS1 1BA,dwalker,M
LIB000046,Ward,Jackson,CPL,PT,1979-10-21,jward@example.com,07709551850,63 Mill Lane,Belfast,BT1 1AA,jward,M
LIB000047,Smith,Amelia,CPL,PT,2003-02-01,asmith@example.com,07704299318,13 High Street,Leicester,LE1 1AA,asmith,F
